cluster	gene
326	AT2G18850
326	AT3G48250
326	AT4G15820
326	AT5G05560
326	AT5G23930
326	AT5G42240
327	AT5G52950
328	AT1G04360
328	AT1G30610
328	AT1G48360
328	AT1G68830
328	AT2G16390
328	AT4G28020
328	AT5G21222
328	AT5G33280
328	AT5G66600
329	AT2G15292
329	AT2G17525
329	AT3G48160
329	AT4G17360
329	AT4G25710
329	AT5G22210
329	AT5G27390
329	ATCG00390
330	AT1G20816
330	AT1G55040
330	AT1G67820
330	AT2G24120
330	AT2G31190
330	AT2G36990
331	AT5G64260
332	AT4G31910
333	AT1G07830
333	AT1G52670
333	AT1G70190
333	AT1G70310
333	AT1G70350
333	AT1G71260
333	AT2G01640
333	AT2G42740
333	AT3G11630
333	AT3G17300
333	AT3G25120
333	AT3G56130
333	AT3G57930
333	AT3G62030
333	AT4G00026
333	AT5G15530
333	AT5G20720
333	AT5G26800
333	AT5G28060
333	AT5G44710
333	AT5G46160
333	AT5G52370
333	AT5G57120
333	AT5G63010
334	AT1G74500
335	AT4G06744
336	AT5G54840
337	AT1G02150
337	AT1G02870
337	AT1G04945
337	AT1G07570
337	AT1G20480
337	AT1G55205
337	AT1G63850
337	AT2G03667
337	AT2G20490
337	AT2G31890
337	AT2G37020
337	AT3G21300
337	AT4G18370
337	AT5G47455
337	AT5G51940
337	ATCG00740
338	AT1G77885
339	AT4G21220
340	AT1G13580
340	AT1G62810
340	AT1G65295
340	AT1G70580
340	AT3G23510
340	AT3G24210
340	AT3G61270
340	AT4G34860
340	AT5G13640
340	AT5G36160
340	AT5G57270
340	AT5G63800
341	AT3G20270
342	AT1G74170
343	AT3G44990
344	AT4G18197
344	AT5G66790
345	AT4G28270
346	AT1G04870
346	AT1G06720
346	AT1G09300
346	AT1G10490
346	AT1G27470
346	AT1G29900
346	AT1G42440
346	AT1G50920
346	AT1G52980
346	AT1G59760
346	AT1G60770
346	AT1G72440
346	AT1G80410
346	AT2G21440
346	AT2G22400
346	AT2G28070
346	AT2G31740
346	AT2G40360
346	AT3G13460
346	AT3G16260
346	AT4G19710
346	AT4G28200
346	AT5G14060
346	AT5G14520
346	AT5G21160
346	AT5G25780
346	AT5G37130
346	AT5G42540
346	AT5G45140
347	AT1G67700
347	AT4G16670
347	AT5G35790
347	AT5G52970
347	AT5G53200
348	AT1G09660
348	AT1G24090
348	AT1G24310
348	AT1G32440
348	AT1G35320
348	AT1G59990
348	AT1G60080
348	AT1G79470
